recv_parse: listening on UDP port 9002
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=29305 option=1846166784 price=1280 vol=2145
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=24 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=25 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=26 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=27 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=28 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=29 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=30 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=31 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=32 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=33 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=34 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=35 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=36 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=37 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=38 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=39 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=41 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=42 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=43 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=44 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=45 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=46 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=47 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=48 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=49 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=50 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=51 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=52 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=53 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=54 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=55 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=56 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=57 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=58 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=59 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=60 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=61 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=62 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=63 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=64 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=65 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=66 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=67 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=68 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=69 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=70 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=71 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=72 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=73 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=74 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=75 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=76 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=77 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=78 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=80 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=81 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=82 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=83 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=84 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=85 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=86 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=87 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=88 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=89 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=90 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=91 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=92 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=93 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=94 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=95 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=96 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=97 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=5112 option=323289093 price=8 vol=24832
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=98 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=99 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=100 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=101 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=102 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=103 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=104 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=105 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=106 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=107 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=108 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=109 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=110 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=111 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=112 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=113 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=114 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=115 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=116 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=117 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=118 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=120 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=121 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=122 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=123 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=124 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=125 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=126 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=127 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=128 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=129 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=130 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=131 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=132 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=133 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=134 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=135 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=136 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=137 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=138 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=139 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=140 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=141 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=142 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=143 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=144 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=145 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=146 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=147 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=148 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=149 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=150 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=151 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=152 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=153 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=154 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=155 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=156 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=157 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=159 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=160 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=161 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=162 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=163 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=164 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=165 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=166 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=167 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=168 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=169 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=170 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=171 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=172 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=173 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=174 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=175 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=176 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=177 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=178 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=179 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=180 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=181 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=182 option=136005 price=5 vol=8
parsed AddOrderShort from 127.0.0.1:56138 | msg=a tracking=183 option=136005 price=5 vol=8
parsed AddOrderShort fro
